TITLE="(Vx,Vy)"
VARIABLES=X,Y,Vx,Vy,Vm,V
ZONE T="T-Dummy" I=30, J=41, F=POINT
0.063333 0.007317 0.000000 0.000000 0.000000 0.000000
0.190000 0.007317 0.000000 0.000000 0.000000 0.000000
0.316667 0.007317 0.000000 0.000000 0.000000 0.000000
0.443333 0.007317 0.000000 0.000000 0.000000 0.000000
0.570000 0.007317 0.000000 0.000000 0.000000 0.000000
0.696667 0.007317 0.000000 0.000000 0.000000 0.000000
0.823333 0.007317 0.000000 0.000000 0.000000 0.000000
0.950000 0.007317 0.000000 0.000000 0.000000 0.000000
1.076667 0.007317 0.000000 0.000000 0.000000 0.000000
1.203333 0.007317 0.000000 0.000000 0.000000 0.000000
1.330000 0.007317 0.000000 0.000000 0.000000 0.000000
1.456667 0.007317 0.000000 0.000000 0.000000 0.000000
1.583333 0.007317 0.000000 0.000000 0.000000 0.000000
1.710000 0.007317 0.000000 0.000000 0.000000 0.000000
1.836667 0.007317 0.000000 0.000000 0.000000 0.000000
1.963333 0.007317 0.000000 0.000000 0.000000 0.000000
2.090000 0.007317 0.000000 0.000000 0.000000 0.000000
2.216667 0.007317 0.000000 0.000000 0.000000 0.000000
2.343333 0.007317 0.000000 0.000000 0.000000 0.000000
2.470000 0.007317 0.000000 0.000000 0.000000 0.000000
2.596667 0.007317 0.000000 0.000000 0.000000 0.000000
2.723333 0.007317 0.000000 0.000000 0.000000 0.000000
2.850000 0.007317 0.000000 0.000000 0.000000 0.000000
2.976667 0.007317 0.000000 0.000000 0.000000 0.000000
3.103333 0.007317 0.000000 0.000000 0.000000 0.000000
3.230000 0.007317 0.000000 0.000000 0.000000 0.000000
3.356667 0.007317 0.000000 0.000000 0.000000 0.000000
3.483333 0.007317 0.000000 0.000000 0.000000 0.000000
3.610000 0.007317 0.000000 0.000000 0.000000 0.000000
3.736667 0.007317 0.000000 0.000000 0.000000 0.000000
0.063333 0.021951 0.000000 0.000000 0.000000 0.000000
0.190000 0.021951 -0.001659 0.000109 0.900000 0.001662
0.316667 0.021951 -0.003843 -0.000016 0.900000 0.003843
0.443333 0.021951 -0.003979 -0.000100 0.900000 0.003981
0.570000 0.021951 -0.003118 -0.000061 0.900000 0.003119
0.696667 0.021951 -0.001956 -0.000042 0.900000 0.001956
0.823333 0.021951 -0.000145 -0.000037 0.900000 0.000149
0.950000 0.021951 0.002234 -0.000009 0.900000 0.002234
1.076667 0.021951 0.004972 0.000004 0.900000 0.004972
1.203333 0.021951 0.007971 0.000015 0.900000 0.007971
1.330000 0.021951 0.010859 0.000025 0.900000 0.010859
1.456667 0.021951 0.013476 0.000025 0.900000 0.013476
1.583333 0.021951 0.015773 0.000017 0.900000 0.015773
1.710000 0.021951 0.017496 0.000013 0.900000 0.017496
1.836667 0.021951 0.018410 0.000018 0.900000 0.018410
1.963333 0.021951 0.018780 0.000019 0.900000 0.018780
2.090000 0.021951 0.019273 0.000012 0.900000 0.019273
2.216667 0.021951 0.020330 -0.000003 0.900000 0.020330
2.343333 0.021951 0.021880 -0.000011 0.900000 0.021880
2.470000 0.021951 0.023400 0.000017 0.900000 0.023400
2.596667 0.021951 0.024665 0.000027 0.900000 0.024665
2.723333 0.021951 0.025799 0.000020 0.900000 0.025799
2.850000 0.021951 0.026673 0.000009 0.900000 0.026673
2.976667 0.021951 0.026881 0.000033 0.900000 0.026881
3.103333 0.021951 0.026014 0.000062 0.900000 0.026014
3.230000 0.021951 0.024380 0.000055 0.900000 0.024380
3.356667 0.021951 0.021908 0.000105 0.900000 0.021908
3.483333 0.021951 0.016525 0.000354 0.900000 0.016529
3.610000 0.021951 0.006359 0.000644 0.900000 0.006391
3.736667 0.021951 0.000000 0.000000 0.000000 0.000000
0.063333 0.036585 0.000000 0.000000 0.000000 0.000000
0.190000 0.036585 -0.001666 0.000327 0.900000 0.001697
0.316667 0.036585 -0.003829 -0.000052 0.900000 0.003829
0.443333 0.036585 -0.003822 -0.000313 0.900000 0.003835
0.570000 0.036585 -0.001653 -0.000327 0.900000 0.001685
0.696667 0.036585 0.000287 -0.000175 0.900000 0.000336
0.823333 0.036585 0.000962 -0.000109 0.900000 0.000968
0.950000 0.036585 0.002277 -0.000062 0.900000 0.002278
1.076667 0.036585 0.004424 -0.000031 0.900000 0.004424
1.203333 0.036585 0.006955 0.000002 0.900000 0.006955
1.330000 0.036585 0.009429 0.000033 0.900000 0.009429
1.456667 0.036585 0.011739 0.000030 0.900000 0.011739
1.583333 0.036585 0.013961 -0.000002 0.900000 0.013961
